name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,6487,-17026.23,528,24,35108.46,35202.22,38687.01
step_1,6487,-17029.14,506,23,35070.28,35156.08,38499.73
step_2,6487,-17033.07,484,22,35034.15,35112.37,38314.48
step_3,6487,-17037.81,462,21,34999.61,35070.63,38130.84
step_4,6487,-17043.88,440,20,34967.77,35031.95,37949.89
step_5,6487,-17050.37,418,19,34936.75,34994.48,37769.77
step_6,6487,-17057.36,396,18,34906.72,34958.35,37590.63
step_7,6487,-17064.71,374,17,34877.41,34923.31,37412.22
step_8,6487,-17073.20,352,16,34850.41,34890.92,37236.11
step_9,6487,-17082.51,330,15,34825.02,34860.51,37061.62
step_10,6487,-17092.53,308,14,34801.05,34831.86,36888.54
step_11,6487,-17103.40,286,13,34778.79,34805.27,36717.18
step_12,6487,-17114.62,264,12,34757.25,34779.74,36546.52
step_13,6487,-17125.46,242,11,34734.92,34753.76,36375.09
step_14,6487,-17136.68,220,10,34713.36,34728.88,36204.42
step_15,6487,-17149.87,198,9,34695.73,34708.26,36037.69
step_16,6487,-17164.67,176,8,34681.33,34691.20,35874.18
step_17,6487,-17182.42,154,7,34672.85,34680.39,35716.59
step_18,6487,-17203.08,132,6,34670.15,34675.68,35564.79
