,austria,belgium,croatia,france,germany,Iberia,italy,na
AJ225030,0,0,0,0,0,0,0,1
FM164278,0,1,0,0,0,0,0,0
FR848957,0,0,0,0,0,0,0,1
FR848958,0,0,0,0,0,0,0,1
GQ453668,0,0,0,0,0,0,1,0
GQ453669,0,0,0,0,0,0,1,0
HE611090,0,0,0,1,0,0,0,0
HE611091,0,0,0,1,0,0,0,0
HE611092,0,0,0,1,0,0,0,0
HE611093,0,0,0,1,0,0,0,0
HE613976,0,0,0,1,0,0,0,0
HE613977,0,0,0,1,0,0,0,0
HE613978,0,0,0,0,0,0,1,0
HE613979,0,0,0,0,0,0,1,0
HE613980,0,0,0,0,0,0,1,0
HE613981,0,0,0,0,0,0,1,0
HE613982,0,0,0,0,0,0,1,0
HE613983,0,0,0,0,0,0,1,0
HE613985,0,0,0,1,0,0,0,0
HE613986,0,0,0,1,0,0,0,0
HE613987,0,0,0,1,0,0,0,0
HE613988,0,0,0,1,0,0,0,0
HE613989,0,0,0,1,0,0,0,0
HE613990,0,0,0,0,0,1,0,0
HE613991,0,0,0,0,0,1,0,0
HE613992,0,0,0,0,0,1,0,0
HE613993,0,0,0,0,0,1,0,0
HE613994,0,0,1,0,0,0,0,0
HE613995,0,0,0,0,0,0,1,0
HE613996,0,0,0,0,0,0,1,0
HE613997,0,0,0,0,0,0,1,0
HE613998,0,0,0,0,0,0,1,0
HE613999,0,0,0,0,0,0,1,0
HE614000,0,0,0,0,0,0,1,0
HE614001,0,0,0,0,0,0,1,0
HE614002,1,0,0,0,0,0,0,0
HE614003,0,1,0,0,0,0,0,0
HE614004,0,1,0,0,0,0,0,0
HE614005,0,0,0,1,0,0,0,0
HE614006,0,0,0,1,0,0,0,0
HE614007,0,0,0,1,0,0,0,0
HE614008,0,0,0,0,1,0,0,0
JX457812,0,0,0,0,0,1,0,0
JX457813,0,0,0,0,0,1,0,0
JX457814,0,0,0,0,0,1,0,0
JX457815,0,0,0,0,0,1,0,0
JX457816,0,0,0,0,0,1,0,0
